Year,Day,DOY:Time,TOD,ppt_mm,ws10m_ms,ws2m_ms,RH_Percent,AT,Saturated VP (kPa),Actual VP (kPa),VPD (kPa),Soil4in_C,Soil8in_C,Solar_WM2,Dew Point
2011,1,1:04:30:00,430,0,6.072,4.677,37.44,-5.196,6.426229717,4.4928,1.933429717,6.165,7.785,-0.163,-17.45063232
2011,1,1:04:45:00,445,0,5.286,4.198,39.1,-5.587,7.028479812,4.692,2.336479812,6.08,7.734,-0.164,-17.2893488
2011,1,1:05:00:00,500,0,5.115,4.039,39.53,-5.855,7.192223223,4.7436,2.448623223,5.995,7.683,-0.158,-17.40179924
2011,1,1:05:15:00,515,0,4.441,3.391,39.99,-6.052,7.371033237,4.7988,2.572233237,5.91,7.63,-0.166,-17.44303845
2011,1,1:05:30:00,530,0,3.906,2.932,40.39,-6.187,7.529631889,4.8468,2.682831889,5.824,7.577,-0.164,-17.44754524
2011,1,1:05:45:00,545,0,3.644,2.664,41.64,-6.706,8.044418208,4.9968,3.047618208,5.737,7.522,-0.164,-17.55812548
2011,1,1:06:00:00,600,0,2.863,1.946,43.3,-7.185,8.774864919,5.196,3.578864919,5.65,7.467,-0.165,-17.53261072
2011,1,1:06:15:00,615,0,1.876,1.131,43.75,-7.319,8.982472888,5.25,3.732472888,5.563,7.411,-0.162,-17.5328437
2011,1,1:06:30:00,630,0,1.009,0.327,45.03,-7.799,9.596339303,5.4036,4.192739303,5.474,7.354,-0.164,-17.63159991
2011,1,1:06:45:00,645,0,0.188,0.001,46.53,-8.27,10.36144249,5.5836,4.777842485,5.385,7.295,-0.162,-17.67748416
2011,1,1:07:00:00,700,0,3.87,2.628,45.25,-7.969,9.705409747,5.43,4.275409747,5.294,7.237,-0.166,-17.72994568
2011,1,1:07:15:00,715,0,3.603,2.615,44.77,-7.71,9.468801873,5.3724,4.096401873,5.202,7.179,-0.164,-17.61839272
2011,1,1:07:30:00,730,0,3.021,1.969,47,-8.37,10.61173684,5.64,4.971736836,5.107,7.119,-0.073,-17.65097486
2011,1,1:07:45:00,745,0,2.486,1.539,48.5,-8.79,11.44569596,5.82,5.625695965,5.011,7.058,1.721,-17.66782703
2011,1,1:08:00:00,800,0,2.432,1.493,50.11,-9.16,12.40297201,6.0132,6.389772013,4.916,6.996,7.487,-17.62510648
2011,1,1:08:15:00,815,0,2.968,2.053,48.87,-8.52,11.65986873,5.8644,5.795468727,4.822,6.933,39.62,-17.32850912
2011,1,1:08:30:00,830,0,2.77,2.097,47.6,-8.08,10.9388151,5.712,5.2268151,4.73,6.87,88.9,-17.23390118
2011,1,1:08:45:00,845,0,2.611,2.036,46.33,-7.358,10.25648691,5.5596,4.696886907,4.64,6.808,142.6,-16.89004921
2011,1,1:09:00:00,900,0,3.477,2.706,43.67,-6.606,8.945258075,5.2404,3.704858075,4.551,6.745,184.5,-16.9034892
2011,1,1:09:15:00,915,0,3.726,3.021,41.87,-6.067,8.142378166,5.0244,3.117978166,4.466,6.68,223.9,-16.91244369
2011,1,1:09:30:00,930,0,3.363,2.647,40.29,-5.548,7.489708218,4.8348,2.654908218,4.386,6.616,263.3,-16.89871449
2011,1,1:09:45:00,945,0,3.6,2.875,38.11,-4.876,6.663699049,4.5732,2.090499049,4.313,6.553,302,-16.95316251
2011,1,1:10:00:00,1000,0,4.19,3.503,36.77,-4.557,6.196123519,4.4124,1.783723519,4.251,6.49,339.8,-17.09157587
2011,1,1:10:15:00,1015,0,4.226,3.451,35.41,-3.914,5.750898528,4.2492,1.501698528,4.2,6.429,375.6,-16.96415441
2011,1,1:10:30:00,1030,0,4.857,3.834,33.1,-2.947,5.058052676,3.972,1.086052676,4.163,6.37,409,-16.90630144
2011,1,1:10:45:00,1045,0,5.573,4.535,31.33,-2.386,4.577361165,3.7596,0.817761165,4.141,6.315,440.7,-17.06371302
2011,1,1:11:00:00,1100,0,5.902,4.958,30.18,-1.847,4.286773352,3.6216,0.665173352,4.135,6.263,469.3,-17.03438041
2011,1,1:11:15:00,1115,0,6.527,5.201,29.08,-1.366,4.023964959,3.4896,0.534364959,4.147,6.215,494.1,-17.0545736
2011,1,1:11:30:00,1130,0,6.158,5.106,28.21,-1.242,3.826147163,3.3852,0.440947163,4.178,6.173,516.8,-17.3064617
2011,1,1:11:45:00,1145,0,6.475,5.242,27.47,-0.956,3.664605382,3.2964,0.368205382,4.229,6.137,535.5,-17.37279568
2011,1,1:12:00:00,1200,0,5.622,4.555,26.82,-0.483,3.527643353,3.2184,0.309243353,4.299,6.108,551.4,-17.2470271
2011,1,1:12:15:00,1215,0,5.519,4.644,25.22,0.496,3.209338754,3.0264,0.182938754,4.386,6.086,562.3,-17.13309858
2011,1,1:12:30:00,1230,0,5.225,4.32,24.28,0.423,3.034262632,2.9136,0.120662632,4.489,6.071,570.2,-17.64465381
2011,1,1:12:45:00,1245,0,6.14,4.981,22.88,0.899,2.788960873,2.7456,0.043360873,4.605,6.064,574.7,-17.93909692
2011,1,1:13:00:00,1300,0,5.123,4.336,22.08,1.306,2.656712458,2.6496,0.007112458,4.736,6.065,574.8,-18.01308169
2011,1,1:13:15:00,1315,0,3.859,3.164,19.81,2.181,2.31081157,2.3772,-0.06638843,4.879,6.074,571.4,-18.5505575
2011,1,1:13:30:00,1330,0,5.744,4.794,19.11,2.499,2.212417512,2.2932,-0.080782488,5.033,6.09,564.5,-18.70624739
2011,1,1:13:45:00,1345,0,6.791,5.728,16.98,3.391,1.935195697,2.0376,-0.102404303,5.196,6.113,554.3,-19.34618405
2011,1,1:14:00:00,1400,0,6.241,5.146,15.56,3.618,1.767743452,1.8672,-0.099456548,5.453,6.144,539.9,-20.1712924
2011,1,1:14:15:00,1415,0,7.047,5.839,15.06,3.609,1.711882378,1.8072,-0.095317622,5.627,6.181,521.8,-20.55439074
2011,1,1:14:30:00,1430,0,8.06,6.68,14.57,3.969,1.65864634,1.7484,-0.08975366,5.8,6.226,500.2,-20.64319354
2011,1,1:14:45:00,1445,0,7.579,6.241,14.58,4.08,1.659718103,1.7496,-0.089881897,5.972,6.275,475,-20.54577478
2011,1,1:15:00:00,1500,0,6.994,5.728,14.65,4.135,1.667237464,1.758,-0.090762536,6.142,6.331,446.2,-20.44635642
2011,1,1:15:15:00,1515,0,7.322,6.224,14.54,4.462,1.655434693,1.7448,-0.089365307,6.307,6.391,415.3,-20.26931798
2011,1,1:15:30:00,1530,0,6.894,5.564,14.37,4.366,1.637338182,1.7244,-0.087061818,6.466,6.454,382.4,-20.48196833
2011,1,1:15:45:00,1545,0,6.249,5.079,14.18,4.639,1.617318228,1.7016,-0.084281772,6.615,6.519,345.5,-20.41534362
2011,1,1:16:00:00,1600,0,6.356,5.287,13.89,4.66,1.587175435,1.6668,-0.079624565,6.754,6.587,307.6,-20.6358749
2011,1,1:16:15:00,1615,0,5.26,4.292,13.82,4.658,1.57997387,1.6584,-0.07842613,6.882,6.655,269,-20.69544868
2011,1,1:16:30:00,1630,0,5.439,4.572,14.11,4.436,1.609996774,1.6932,-0.083203226,6.998,6.724,228.6,-20.63536515
2011,1,1:16:45:00,1645,0,5.147,4.257,14.13,4.372,1.612085645,1.6956,-0.083514355,7.1,6.791,188.5,-20.67054926
2011,1,1:17:00:00,1700,0,4.722,3.787,14.23,4.219,1.622565705,1.7076,-0.085034295,7.187,6.856,148.9,-20.7126877
2011,1,1:17:15:00,1715,0,2.807,2.274,14.64,3.943,1.666161444,1.7568,-0.090638556,7.262,6.92,95.2,-20.60915991
2011,1,1:17:30:00,1730,0,2.982,2.211,14.86,3.672,1.689975117,1.7832,-0.093224883,7.319,6.981,46.88,-20.65689462
2011,1,1:17:45:00,1745,0,2.467,1.6,15.66,2.952,1.779105429,1.8792,-0.100094571,7.36,7.037,12.33,-20.63910577
2011,1,1:18:00:00,1800,0,2.424,1.328,17.57,1.92,2.008756603,2.1084,-0.099643397,7.384,7.09,2.356,-20.16047827
2011,1,1:18:15:00,1815,0,1.466,0.608,17.64,1.626,2.017644569,2.1168,-0.099155431,7.391,7.137,-0.068,-20.3570771
2011,1,1:18:30:00,1830,0,2.638,1.587,17.4,1.254,1.987314126,2.088,-0.100685874,7.379,7.179,-0.168,-20.82098772
2011,1,1:18:45:00,1845,0,2.5,1.295,18.36,0.669,2.111081449,2.2032,-0.092118551,7.348,7.216,-0.167,-20.68868218
2011,1,1:19:00:00,1900,0,1.864,0.828,18.85,0.639,2.176816045,2.262,-0.085183955,7.297,7.247,-0.165,-20.41105451
2011,1,1:19:15:00,1915,0,0.51,0,19.79,-0.276,2.307948079,2.3748,-0.066851921,7.229,7.27,-0.163,-20.61463275
2011,1,1:19:30:00,1930,0,1.28,0.087,21.26,-0.947,2.526874913,2.5512,-0.024325087,7.146,7.284,-0.163,-20.35437715
2011,1,1:19:45:00,1945,0,1.192,0.447,19.41,0.425,2.254128201,2.3292,-0.075071799,7.052,7.292,-0.162,-20.25227492
2011,1,1:20:00:00,2000,0,1.839,0.953,21.1,-0.345,2.502197749,2.532,-0.029802251,6.949,7.291,-0.166,-19.93443082
2011,1,1:20:15:00,2015,0,2.181,1.211,21.54,-0.516,2.570571958,2.5848,-0.014228042,6.84,7.285,-0.166,-19.84002894
2011,1,1:20:30:00,2030,0,2.083,1.172,20.76,-0.332,2.450457005,2.4912,-0.040742995,6.725,7.271,-0.166,-20.11099649
2011,1,1:20:45:00,2045,0,1.386,0.473,25.45,-1.001,3.253494129,3.054,0.199494129,6.608,7.251,-0.16,-18.31092175
2011,1,1:21:00:00,2100,0,1.776,1.24,26.29,-2.268,3.419288551,3.1548,0.264488551,6.487,7.225,-0.165,-19.02221026
2011,1,1:21:15:00,2115,0,1.951,0.916,24.22,-1.791,3.023376104,2.9064,0.116976104,6.367,7.195,-0.163,-19.56544025
2011,1,1:21:30:00,2130,0,1.527,0.38,26.26,-2.548,3.413242956,3.1512,0.262042956,6.245,7.16,-0.164,-19.27706654
2011,1,1:21:45:00,2145,0,1.765,0.807,31.91,-2.205,4.730303825,3.8292,0.901103825,6.123,7.121,-0.163,-16.6865541
2011,1,1:22:00:00,2200,0,0.427,1.027,32.15,-4.192,4.794877149,3.858,0.936877149,6.001,7.079,-0.165,-18.34981567
2011,1,1:22:15:00,2215,0,2.185,1.4,32.05,-4.141,4.767879158,3.846,0.921879158,5.877,7.034,-0.165,-18.34133313
2011,1,1:22:30:00,2230,0,1.386,0.078,31.34,-3.946,4.579961253,3.7608,0.819161253,5.756,6.987,-0.151,-18.43200236
2011,1,1:22:45:00,2245,0,2.626,1.604,30.23,-3.826,4.299065657,3.6276,0.671465657,5.636,6.936,-0.164,-18.74832502
2011,1,1:23:00:00,2300,0,2.397,1.198,31.74,-4.292,4.685022659,3.8088,0.876222659,5.52,6.884,-0.165,-18.58825912
2011,1,1:23:15:00,2315,0,1.498,0.666,33.54,-4.635,5.184133373,4.0248,1.159333373,5.407,6.831,-0.162,-18.24535218
2011,1,1:23:30:00,2330,0,0.895,0.252,43.57,-6.134,8.898926707,5.2284,3.670526707,5.298,6.776,-0.165,-16.49998261
2011,1,1:23:45:00,2345,0,0.953,0.788,38.76,-6.244,6.901301134,4.6512,2.250101134,5.191,6.719,-0.165,-17.98460422
2011,2,2:00:00:00,0,0,1.603,1.223,36.25,-5.399,6.022486475,4.35,1.672486475,5.089,6.662,-0.165,-18.0131865
2011,2,2:00:15:00,15,0,1.919,0.772,38.67,-5.662,6.867971388,4.6404,2.227571388,4.989,6.605,-0.166,-17.48768089
2011,2,2:00:30:00,30,0,2.768,1.777,39.18,-5.466,7.058697152,4.7016,2.357097152,4.89,6.548,-0.16,-17.15603099
2011,2,2:00:45:00,45,0,2.381,1.466,40.19,-5.58,7.449967685,4.8228,2.627167685,4.796,6.491,-0.165,-16.95716233
2011,2,2:01:00:00,100,0,2.282,1.224,39.96,-5.564,7.359255667,4.7952,2.564055667,4.701,6.433,-0.165,-17.01080147
2011,2,2:01:15:00,115,0,2.653,1.471,39.2,-5.718,7.066269023,4.704,2.362269023,4.608,6.374,-0.164,-17.37727781
2011,2,2:01:30:00,130,0,2.736,1.621,38.82,-5.616,6.923598636,4.6584,2.265198636,4.519,6.315,-0.165,-17.40049263
2011,2,2:01:45:00,145,0,2.366,1.329,31.54,-4.829,4.632233186,3.7848,0.847433186,4.433,6.257,-0.165,-19.13513704
2011,2,2:02:00:00,200,0,2.709,1.904,29.3,-4.11,4.075375174,3.516,0.559375174,4.35,6.199,-0.166,-19.36071527
2011,2,2:02:15:00,215,0,2.751,1.715,29.71,-4.339,4.17271127,3.5652,0.60751127,4.27,6.143,-0.136,-19.39961261
2011,2,2:02:30:00,230,0,2.105,1.243,30.46,-4.157,4.356005824,3.6552,0.700805824,4.19,6.086,-0.164,-18.95014855
2011,2,2:02:45:00,245,0,2.044,1.043,31.05,-4.272,4.505077541,3.726,0.779077541,4.112,6.029,-0.165,-18.82740838
2011,2,2:03:00:00,300,0,1.604,0.714,32.63,-4.557,4.926323958,3.9156,1.010723958,4.038,5.973,-0.164,-18.49861298
2011,2,2:03:15:00,315,0,1.965,1.057,32.75,-4.805,4.959670386,3.93,1.029670386,3.965,5.917,-0.165,-18.67496696
2011,2,2:03:30:00,330,0,2.798,1.718,33.69,-5.146,5.227734327,4.0428,1.184934327,3.893,5.862,-0.165,-18.64632618
2011,2,2:03:45:00,345,0,3.079,1.785,34.82,-5.447,5.566547653,4.1784,1.388147653,3.822,5.807,-0.166,-18.52806533
2011,2,2:04:00:00,400,0,3.046,1.778,36.86,-5.805,6.226612155,4.4232,1.803412155,3.753,5.754,-0.163,-18.18061933
2011,2,2:04:15:00,415,0,2.615,1.712,37.69,-5.947,6.513966176,4.5228,1.991166176,3.684,5.7,-0.164,-18.04648041
2011,2,2:04:30:00,430,0,2.353,1.371,39.33,-6.434,7.115657668,4.7196,2.396057668,3.613,5.646,-0.161,-17.98428943
2011,2,2:04:45:00,445,0,1.52,0.829,40.23,-6.589,7.465841966,4.8276,2.638241966,3.543,5.592,-0.164,-17.85815972
2011,2,2:05:00:00,500,0,2.127,1.302,40.38,-6.508,7.525631261,4.8456,2.680031261,3.479,5.539,-0.166,-17.74101629
2011,2,2:05:15:00,515,0,1.476,0.711,41.6,-6.744,8.027486041,4.992,3.035486041,3.414,5.486,-0.165,-17.6039803
2011,2,2:05:30:00,530,0,1.618,1.028,42.06,-6.747,8.224077092,5.0472,3.176877092,3.348,5.434,-0.165,-17.47686812
2011,2,2:05:45:00,545,0,0.349,0.296,43.18,-7.082,8.720207301,5.1816,3.538607301,3.28,5.381,-0.161,-17.4714437
2011,2,2:06:00:00,600,0,1.328,1.072,43.56,-7.237,8.89430498,5.2272,3.66710498,3.212,5.329,-0.165,-17.50936754
2011,2,2:06:15:00,615,0,1.419,0.746,43.57,-7.276,8.898926707,5.2284,3.670526707,4.565,5.278,-0.166,-17.54225856
2011,2,2:06:30:00,630,0,0.772,0.212,44,-7.73,9.099631516,5.28,3.819631516,4.725,5.226,-0.165,-17.84116753
2011,2,2:06:45:00,645,0,1.167,0.259,45.22,-7.781,9.690473863,5.4264,4.264073863,4.109,5.173,-0.164,-17.56541673
2011,2,2:07:00:00,700,0,0.315,0.056,47.94,-8.17,11.12798387,5.7528,5.375183867,3.75,5.121,-0.164,-17.232633
2011,2,2:07:15:00,715,0,0,0,51.39,-9.02,13.21239786,6.1668,7.04559786,3.55,5.068,-0.159,-17.19696229
2011,2,2:07:30:00,730,0,1.056,0.475,53.19,-8.4,14.42720164,6.3828,8.044401644,3.417,5.014,-0.023,-16.2099325
2011,2,2:07:45:00,745,0,1.759,1.178,53.32,-8.53,14.51853186,6.3984,8.120131859,3.281,4.96,2.074,-16.30208761
2011,2,2:08:00:00,800,0,1.62,0.559,50.86,-8.68,12.8719037,6.1032,6.768703697,3.119,4.907,7.428,-17.00392331
2011,2,2:08:15:00,815,0,1.862,0.818,49.6,-8.57,12.09255467,5.952,6.140554668,2.96,4.852,31.33,-17.1992773
2011,2,2:08:30:00,830,0,1.965,1.071,47.21,-8.04,10.72524274,5.6652,5.060042736,2.798,4.798,67.57,-17.29442134
2011,2,2:08:45:00,845,0,2.182,1.494,44.8,-7.411,9.483442731,5.376,4.107442731,2.733,4.742,147.2,-17.33669276
2011,2,2:09:00:00,900,0,2.215,1.896,41.46,-6.433,7.968465678,4.9752,2.993265678,2.678,4.687,186.5,-17.3614312
2011,2,2:09:15:00,915,0,3.245,2.631,38.99,-5.705,6.987113728,4.6788,2.308313728,2.617,4.632,226.5,-17.42905443
2011,2,2:09:30:00,930,0,3.069,2.67,36.93,-4.948,6.250415296,4.4316,1.818815296,2.546,4.575,266,-17.39037275
2011,2,2:09:45:00,945,0,2.986,2.406,35.11,-4.655,5.656510062,4.2132,1.443310062,2.491,4.519,304.9,-17.72518547
2011,2,2:10:00:00,1000,0,2.736,2.269,33.06,-3.51,5.046723923,3.9672,1.079523923,2.451,4.464,342,-17.41870025
2011,2,2:10:15:00,1015,0,3.683,3.126,31.39,-2.859,4.59298095,3.7668,0.82618095,2.444,4.413,378.2,-17.45699452
2011,2,2:10:30:00,1030,0,3.019,2.538,29.86,-1.97,4.208823796,3.5832,0.625623796,2.45,4.364,411.6,-17.26829226
2011,2,2:10:45:00,1045,0,2.436,2.102,28.9,-1.229,3.98232265,3.468,0.51432265,2.481,4.319,442.5,-17.00885094
2011,2,2:11:00:00,1100,0,2.762,2.482,26.98,-0.013,3.560936522,3.2376,0.323336522,2.526,4.279,470.8,-16.77047072
2011,2,2:11:15:00,1115,0,2.718,2.274,25.85,0.84,3.331548429,3.102,0.229548429,2.589,4.244,496.2,-16.54460436
2011,2,2:11:30:00,1130,0,2.47,2.079,24.36,1.26,3.048831187,2.9232,0.125631187,2.696,4.217,518.6,-16.89098057
2011,2,2:11:45:00,1145,0,2.365,2.116,22.73,1.989,2.763735388,2.7276,0.036135388,2.801,4.195,537.3,-17.09275578
2011,2,2:12:00:00,1200,0,2.995,2.544,21.26,2.592,2.526874913,2.5512,-0.024325087,2.919,4.182,553,-17.37545232
2011,2,2:12:15:00,1215,0,3.94,3.493,20.29,3.088,2.380473885,2.4348,-0.054326115,3.057,4.178,563.8,-17.5114245
2011,2,2:12:30:00,1230,0,4.293,3.609,19.18,3.868,2.222089124,2.3016,-0.079510876,3.219,4.181,572,-17.52569992
2011,2,2:12:45:00,1245,0,4.008,3.472,18.05,4.629,2.070397421,2.166,-0.095602579,3.405,4.195,576.3,-17.61250018
2011,2,2:13:00:00,1300,0,4.085,3.555,15.96,5.482,1.813576352,1.9152,-0.101623648,3.613,4.219,576.6,-18.3607925
2011,2,2:13:15:00,1315,0,5.086,4.133,14.66,6.266,1.668314094,1.7592,-0.090885906,3.833,4.253,573.6,-18.72012012
2011,2,2:13:30:00,1330,0,4.519,3.933,13.95,7.237,1.593371111,1.674,-0.080628889,4.064,4.296,566.3,-18.52060515
2011,2,2:13:45:00,1345,0,4.142,3.386,12.84,8.28,1.482120237,1.5408,-0.058679763,4.302,4.349,555.2,-18.6591344
2011,2,2:14:00:00,1400,0,6.923,5.798,11.17,9.54,1.327585403,1.3404,-0.012814597,4.547,4.411,541.3,-19.29166108
2011,2,2:14:15:00,1415,0,6.827,5.458,11.64,9.81,1.369575382,1.3968,-0.027224618,4.804,4.482,521.1,-18.60009589
2011,2,2:14:30:00,1430,0,7.532,6.335,10.8,10.02,1.295329588,1.296,-0.000670412,5.078,4.558,498,-19.30921986
2011,2,2:14:45:00,1445,0,8.05,6.554,10.57,10.08,1.275627686,1.2684,0.007227686,5.328,4.643,474.9,-19.51249582
2011,2,2:15:00:00,1500,0,9.05,7.332,10.67,9.93,1.284161126,1.2804,0.003761126,5.571,4.733,447.8,-19.51968418
2011,2,2:15:15:00,1515,0,8.06,6.465,10.39,10.2,1.260393041,1.2468,0.013593041,5.799,4.828,416.8,-19.61861598
2011,2,2:15:30:00,1530,0,6.249,4.984,10.46,10.46,1.266298512,1.2552,0.011098512,6.031,4.928,382.6,-19.33946799
2011,2,2:15:45:00,1545,0,6.383,5.048,10.33,10.3,1.255350494,1.2396,0.015750494,6.247,5.03,346.8,-19.60835076
2011,2,2:16:00:00,1600,0,6.443,5.184,10.23,10.4,1.246985654,1.2276,0.019385654,6.452,5.134,309,-19.64374605
2011,2,2:16:15:00,1615,0,5.706,4.58,10.46,10.47,1.266298512,1.2552,0.011098512,6.643,5.24,269,-19.33172547
2011,2,2:16:30:00,1630,0,5.496,4.422,10.46,10.52,1.266298512,1.2552,0.011098512,6.818,5.344,229.8,-19.29301396
2011,2,2:16:45:00,1645,0,6.136,4.923,10.81,10.18,1.296192226,1.2972,-0.001007774,6.977,5.449,189.2,-19.17410848
2011,2,2:17:00:00,1700,0,5.092,4.134,11.45,10,1.352462272,1.374,-0.021537728,7.121,5.551,148.6,-18.6437611
2011,2,2:17:15:00,1715,0,5.429,4.18,11.59,9.69,1.36505359,1.3908,-0.02574641,7.247,5.65,100.5,-18.74441655
2011,2,2:17:30:00,1730,0,4.506,3.46,11.7,9.31,1.375018898,1.404,-0.028981102,7.354,5.747,49.53,-18.93206922
2011,2,2:17:45:00,1745,0,3.929,2.769,12.28,8.48,1.428627422,1.4736,-0.044972578,7.443,5.839,13.12,-19.02123535
2011,2,2:18:00:00,1800,0,3.797,2.483,13.07,7.659,1.504594874,1.5684,-0.063805126,7.513,5.927,2.812,-18.94494086
2011,2,2:18:15:00,1815,0,3.814,2.455,13.66,7.05,1.563620717,1.6392,-0.075579283,7.562,6.01,0.089,-18.91557204
2011,2,2:18:30:00,1830,0,3.716,2.321,14.05,6.521,1.603744401,1.686,-0.082255599,7.591,6.087,-0.16,-19.01093069
2011,2,2:18:45:00,1845,0,3.408,2.087,14.38,6.154,1.638397859,1.7256,-0.087202141,7.599,6.156,-0.167,-19.03519204
2011,2,2:19:00:00,1900,0,3.765,2.249,14.77,5.734,1.680197326,1.7724,-0.092202674,7.589,6.22,-0.165,-19.06181547
2011,2,2:19:15:00,1915,0,3.474,1.883,15.99,4.814,1.817055424,1.9188,-0.101744576,7.561,6.275,-0.163,-18.88247155
2011,2,2:19:30:00,1930,0,3.311,1.883,16.49,4.858,1.875907299,1.9788,-0.102892701,7.52,6.322,-0.158,-18.48682561
2011,2,2:19:45:00,1945,0,4.426,2.809,18,4.478,2.063900174,2.16,-0.096099826,7.466,6.361,-0.164,-17.76974867
2011,2,2:20:00:00,2000,0,4.926,3.337,18.23,4.83,2.093936004,2.1876,-0.093663996,7.403,6.392,-0.148,-17.32939709
2011,2,2:20:15:00,2015,0,5.711,4.234,18.31,4.885,2.104472561,2.1972,-0.092727439,7.334,6.417,-0.159,-17.23215782
2011,2,2:20:30:00,2030,0,4.89,3.389,18.84,4.271,2.175456827,2.2608,-0.085343173,7.26,6.435,-0.164,-17.40260923
2011,2,2:20:45:00,2045,0,6.387,4.647,20.17,4.239,2.362888389,2.4204,-0.057511611,7.183,6.445,-0.163,-16.61997459
2011,2,2:21:00:00,2100,0,6.388,4.751,20.74,4.107,2.447442772,2.4888,-0.041357228,7.107,6.451,-0.163,-16.39824851
2011,2,2:21:15:00,2115,0,5.964,4.493,20.13,3.933,2.357051853,2.4156,-0.058548147,7.032,6.451,-0.163,-16.8990898
2011,2,2:21:30:00,2130,0,5.725,4.126,20.09,3.488,2.351227927,2.4108,-0.059572073,6.96,6.449,-0.163,-17.29426546
2011,2,2:21:45:00,2145,0,7.098,5.26,19.87,3.317,2.319420694,2.3844,-0.064979306,6.89,6.442,-0.164,-17.5671252
2011,2,2:22:00:00,2200,0,7.257,5.275,21.39,2.754,2.547081432,2.5668,-0.019718568,6.823,6.433,-0.163,-17.16706854
2011,2,2:22:15:00,2215,0,7.468,5.856,24.2,2.618,3.019754841,2.904,0.115754841,6.76,6.422,-0.162,-15.81100747
2011,2,2:22:30:00,2230,0,7.272,5.585,25.83,2.327,3.327607306,3.0996,0.228007306,6.697,6.409,-0.153,-15.27635712
2011,2,2:22:45:00,2245,0,7.963,6.103,26.1,2.157,3.38115683,3.132,0.24915683,6.635,6.394,-0.16,-15.29712518
2011,2,2:23:00:00,2300,0,5.886,4.544,26.57,1.731,3.476165567,3.1884,0.287765567,6.575,6.379,-0.166,-15.44889439
2011,2,2:23:15:00,2315,0,5.877,4.393,26.55,1.497,3.472075763,3.186,0.286075763,6.517,6.362,-0.163,-15.65957638
2011,2,2:23:30:00,2330,0,5.761,4.233,26.19,1.569,3.399172777,3.1428,0.256372777,6.46,6.344,-0.159,-15.76145831
2011,2,2:23:45:00,2345,0,4.174,3.188,26.5,1.036,3.461869591,3.18,0.281869591,6.403,6.325,-0.164,-16.0794263
2011,3,3:00:00:00,0,0,4.808,3.605,26.41,0.46,3.443564336,3.1692,0.274364336,6.347,6.305,-0.163,-16.6163954
2011,3,3:00:15:00,15,0,4.626,3.491,27.52,0.14,3.67533013,3.3024,0.37293013,6.291,6.284,-0.164,-16.40214123
2011,3,3:00:30:00,30,0,4.839,3.589,29.47,0.383,4.115491659,3.5364,0.579091659,6.236,6.262,-0.163,-15.37053208
